NP,power,time,bkg
2,5.0,97,14606465.73669737
2,5.0,98,17744887.334077477
2,5.0,99,17051593.414919876
2,5.0,100,16196119.553216878
2,5.0,101,18167615.386685073
2,5.0,102,23680929.985581145
2,5.0,103,20872241.83184489
2,5.0,104,22906782.27147399
2,5.0,105,23370528.912205838
2,5.0,106,18957859.161142968
2,5.0,107,20373142.190670315
2,5.0,108,19102343.679182358
2,5.0,109,17334274.798774555
2,5.0,110,16992567.95016842
2,5.0,111,16322875.65410856
2,5.0,112,19335148.4826814
2,5.0,113,16777997.252592795
2,5.0,114,14221574.546712033
2,5.0,115,17152483.993483696
2,5.0,116,14754145.395288981
2,5.0,117,14990339.577318652
2,5.0,118,13296498.119047534
2,5.0,119,13927803.456066906
2,5.0,120,12411569.799113903
2,5.0,121,12778454.603806648
2,5.0,122,12032418.260712208
2,5.0,123,12968680.125029955
2,5.0,124,12457780.231838293
2,5.0,125,11576868.132049873
2,5.0,126,12422439.632744271
2,5.0,127,12729721.169650357
2,5.0,128,13291225.066917174
2,5.0,129,15479142.569191871
2,5.0,130,14168151.70361161
2,5.0,131,13740747.121316142
2,5.0,132,15486246.05209953
2,5.0,133,13889820.538605347
2,5.0,134,12855116.518073265
2,5.0,135,12946294.830829296
2,5.0,136,12189786.929074442
2,5.0,137,14159189.389069516
2,5.0,138,14211930.879263487
2,5.0,139,12756138.012500048
2,5.0,140,12847162.155509768
2,5.0,141,13227053.226894928
2,5.0,142,12094291.268718675
2,5.0,143,11891555.620049832
2,5.0,144,9941272.963019513
2,5.0,145,8937499.012151958
2,5.0,146,8074877.314328418
2,5.0,147,8572250.237204172
2,5.0,148,11668361.725283133
2,5.0,149,9482653.844602369
2,5.0,150,6632870.647817112
2,5.0,151,8325642.532698007
2,5.0,152,9086626.87657316
2,5.0,153,9274717.88149022
2,5.0,154,9223474.362786345
2,5.0,155,10517616.055025797
2,5.0,156,9521994.327890405
2,5.0,157,10254142.558315724
2,5.0,158,9756226.677871544
2,5.0,159,10081497.096132953
2,5.0,160,9911153.283574676
2,5.0,161,11299232.844109483
2,5.0,162,10923010.849538356
2,5.0,163,10462317.877674205
2,5.0,164,12225975.770606328
2,5.0,165,10472697.693745378
2,5.0,166,10090934.229415853
2,5.0,167,10119679.643397892
2,5.0,168,8768087.237471823
2,5.0,169,8817880.243024588
2,5.0,170,8836585.686508013
2,5.0,171,10318145.132234488
2,5.0,172,8780351.751177996
2,5.0,173,8632468.4683197
2,5.0,174,8849762.282874286
2,5.0,175,8180081.89618629
2,5.0,176,8571844.668931186
2,5.0,177,8105902.408541657
2,5.0,178,8048828.213394728
2,5.0,179,9363204.502385918
2,5.0,180,8666985.76349774
2,5.0,181,8224829.68410941
2,5.0,182,9202787.502516158
2,5.0,183,10888467.263695903
2,5.0,184,9220157.076321568
2,5.0,185,10789655.718348032
2,5.0,186,10852535.21090015
2,5.0,187,10489182.203031633
2,5.0,188,9736140.233335812
2,5.0,189,9328106.020572346
2,5.0,190,9093026.788459811
2,5.0,191,9535896.93364184
2,5.0,192,9061804.473755097
2,5.0,193,8883259.028777096
2,5.0,194,9795736.77264436
2,5.0,195,9221913.956197724
2,5.0,196,9299417.008985076
2,5.0,197,9555015.680153292
2,5.0,198,9747649.920881905
2,5.0,199,9092991.529230688
2,50.0,0,9550578.469243411
2,50.0,1,8324321.409750627
2,50.0,2,8690796.285940316
2,50.0,3,6498145.541193003
2,50.0,4,5946276.736718601
2,50.0,5,6695417.059690961
2,50.0,6,6785414.753431754
2,50.0,7,7458711.644264849
2,50.0,8,7860887.5476560015
2,50.0,9,8538447.898092818
2,50.0,10,9779321.70337079
